task_type,task_id,tool,time,precision,recall,f1
A,taskA_5saejf2zs,without_tool,1,0.0,0.0,0.0
A,taskA_5saejf2zs,without_tool,2,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,3,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,4,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,5,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,6,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,7,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,8,1.0,0.13,0.22
A,taskA_5saejf2zs,without_tool,9,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,10,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,11,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,12,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,13,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,14,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,15,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,16,1.0,0.25,0.4
A,taskA_5saejf2zs,without_tool,17,1.0,0.38,0.55
A,taskA_5saejf2zs,without_tool,18,1.0,0.38,0.55
A,taskA_5saejf2zs,without_tool,19,1.0,0.5,0.67
A,taskA_5saejf2zs,without_tool,20,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,21,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,22,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,23,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,24,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,25,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,26,1.0,0.63,0.77
A,taskA_5saejf2zs,without_tool,27,0.83,0.63,0.71
A,taskA_5saejf2zs,without_tool,28,0.83,0.63,0.71
A,taskA_5saejf2zs,without_tool,29,0.83,0.63,0.71
A,taskA_5saejf2zs,without_tool,30,0.83,0.63,0.71
A,taskA_5saejf2zs,without_tool,31,0.71,0.63,0.67
